frame_index,timestamp_seconds,track_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height
15,0.6,1,2,car,0.254468,169.519,110.454,192.669,130.979,181.094,120.716,23.15,20.525
16,0.64,2,2,car,0.4599,108.634,193.827,143.672,222.726,126.153,208.277,35.037,28.899
16,0.64,7,2,car,0.279388,113.552,152.633,134.981,167.155,124.266,159.894,21.429,14.522
16,0.64,29,2,car,0.373956,279.761,132.379,298.491,143.345,289.126,137.862,18.731,10.966
16,0.64,33,2,car,0.674533,336.998,161.373,378.144,185.203,357.571,173.288,41.146,23.83
16,0.64,1,2,car,0.322742,167.76,109.431,191.744,130.657,179.752,120.044,23.984,21.225
17,0.68,2,2,car,0.536836,110.163,195.917,146.481,225.74,128.322,210.829,36.318,29.823
17,0.68,7,2,car,0.46733,115.047,153.427,136.573,167.999,125.81,160.713,21.526,14.572
17,0.68,29,2,car,0.32456,278.588,132.644,295.544,142.513,287.066,137.579,16.955,9.868
17,0.68,33,2,car,0.577099,330.753,159.709,372.576,183.978,351.665,171.843,41.823,24.269
17,0.68,1,2,car,0.384397,166.976,109.378,190.455,130.052,178.716,119.715,23.479,20.673
17,0.68,24,2,car,0.315003,243.513,147.193,271.92,164.556,257.717,155.874,28.407,17.362
18,0.72,7,2,car,0.522919,115.311,153.482,138.318,169.158,126.814,161.32,23.007,15.676
18,0.72,29,2,car,0.433144,276.019,131.506,293.814,141.781,284.916,136.643,17.795,10.275
18,0.72,1,2,car,0.259947,165.989,108.987,189.429,129.5,177.709,119.243,23.439,20.513
18,0.72,24,2,car,0.412517,239.267,145.766,267.812,163.218,253.539,154.492,28.546,17.451
19,0.76,7,2,car,0.537652,115.637,153.992,140.028,170.75,127.833,162.371,24.391,16.758
19,0.76,29,2,car,0.412529,274.286,131.849,290.924,141.375,282.605,136.612,16.637,9.526
19,0.76,1,2,car,0.264389,166.076,110.745,187.333,128.818,176.704,119.781,21.257,18.073
19,0.76,24,2,car,0.45504,235.013,143.62,264.478,161.73,249.745,152.675,29.465,18.11
19,0.76,36,2,car,0.536712,596.802,236.908,723.228,273.734,660.015,255.321,126.425,36.826
19,0.76,2,2,car,0.313795,112.833,198.981,153.05,232.003,132.942,215.492,40.217,33.022
19,0.76,33,2,car,0.344019,321.721,158.398,360.47,180.879,341.095,169.638,38.749,22.48
20,0.8,7,2,car,0.579427,116.572,154.627,141.612,171.943,129.092,163.285,25.04,17.316
20,0.8,29,2,car,0.524919,271.724,131.688,288.237,141.054,279.981,136.371,16.513,9.365
20,0.8,1,2,car,0.343244,166.025,112.076,185.925,128.428,175.975,120.252,19.9,16.352
20,0.8,24,2,car,0.494964,232.564,142.864,261.505,160.698,247.034,151.781,28.941,17.834
20,0.8,36,2,car,0.578332,578.082,232.091,705.422,269.327,641.752,250.709,127.341,37.235
20,0.8,2,2,car,0.332009,114.655,201.336,155.802,235.236,135.228,218.286,41.147,33.9
21,0.84,7,2,car,0.560667,117.244,155.313,143.538,173.618,130.391,164.465,26.293,18.305
21,0.84,29,2,car,0.505976,269.729,130.99,287.188,140.865,278.459,135.928,17.459,9.876
21,0.84,24,2,car,0.611322,230.659,142.774,258.211,159.761,244.435,151.268,27.551,16.987
21,0.84,36,2,car,0.368633,562.083,227.615,683.01,263.126,622.546,245.371,120.928,35.511
21,0.84,33,2,car,0.312574,309.923,154.705,349.371,177.742,329.647,166.223,39.448,23.037
22,0.88,7,2,car,0.503138,118.524,156.063,144.731,174.461,131.628,165.262,26.207,18.399
22,0.88,29,2,car,0.425245,267.095,130.214,286.366,141.107,276.731,135.661,19.271,10.893
22,0.88,24,2,car,0.733434,229.028,142.679,254.873,158.56,241.951,150.619,25.845,15.881
22,0.88,36,2,car,0.330389,542.748,222.149,662.293,257.515,602.521,239.832,119.544,35.365
22,0.88,33,2,car,0.423524,305.939,153.495,343.407,175.486,324.673,164.49,37.468,21.991
22,0.88,2,2,car,0.384015,117.902,205.165,162.326,241.992,140.114,223.579,44.424,36.827
23,0.92,7,2,car,0.373879,119.388,156.432,145.816,175.174,132.602,165.803,26.429,18.742
23,0.92,29,2,car,0.494769,264.777,129.824,284.16,140.694,274.468,135.259,19.382,10.871
23,0.92,24,2,car,0.265446,227.936,142.507,251.708,157.156,239.822,149.832,23.772,14.649
23,0.92,33,2,car,0.563718,301.251,152.519,337.423,173.765,319.337,163.142,36.172,21.246
23,0.92,2,2,car,0.295272,121.127,208.137,164.466,243.89,142.796,226.013,43.34,35.753
24,0.96,7,2,car,0.34698,119.104,156.772,147.461,177.016,133.283,166.894,28.357,20.244
24,0.96,29,2,car,0.661471,262.616,129.418,281.939,140.241,272.278,134.829,19.323,10.823
24,0.96,33,2,car,0.466986,297.297,151.188,332.66,172.097,314.978,161.642,35.364,20.908
24,0.96,36,2,car,0.5283,486.362,203.399,633.67,247.672,560.016,225.535,147.309,44.272
25,1.0,7,2,car,0.411563,121.107,158.547,148.646,178.272,134.877,168.409,27.54,19.725
25,1.0,29,2,car,0.599841,261.142,129.546,279.542,139.851,270.342,134.698,18.4,10.305
25,1.0,33,2,car,0.374473,293.623,150.129,326.838,169.826,310.231,159.978,33.215,19.698
25,1.0,45,2,car,0.718844,422.876,160.98,465.827,181.074,444.352,171.027,42.952,20.094
25,1.0,36,2,car,0.526506,475.84,200.415,616.909,243.61,546.375,222.013,141.069,43.194
25,1.0,2,2,car,0.399733,126.456,214.016,173.737,252.703,150.097,233.359,47.28,38.687
26,1.04,7,2,car,0.457383,122.574,159.065,150.693,179.333,136.634,169.199,28.119,20.268
26,1.04,29,2,car,0.565875,259.521,129.273,277.046,139.034,268.283,134.153,17.526,9.761
